PlotNum;TreeNum;Species;X;Y;Status_2009;d13_2009;hc_2009;Status_2010;Notes_2010;Damage_class;break_h;h
TEXAS;179;2;2515980.057;6861195.8;11;81;3;11;;0;NA;8.460792973
TEXAS;95;2;2515982.647;6861199.527;12;75;3.3;13;kituva;0;NA;7.974431173
TEXAS;94;1;2515983.525;6861202.038;11;192;11.1;22;pökkelö 9 m;1;9;17.86193369
TEXAS;180;1;2515981.809;6861193.739;11;198;13.5;11;;0;NA;18.11151924
TEXAS;96;2;2515983.567;6861197.489;11;205;6;11;;0;NA;17.68571311
TEXAS;97;2;2515984.649;6861200.319;11;194;4.7;11;;0;NA;16.92627732
TEXAS;181;1;2515984.123;6861192.027;11;241;10.9;11;;0;NA;19.69736635
TEXAS;182;1;2515985.166;6861194.677;11;226;13.6;11;;0;NA;19.18130268
TEXAS;99;2;2515988.098;6861201.192;12;130;4.6;11;normaali;0;NA;12.28767853
TEXAS;100;1;2515989.354;6861198.818;11;267;12.2;11;;0;NA;20.51181356
TEXAS;184;2;2515989.328;6861195.369;12;120;10.3;13;kituva. Latva katkenut n. 13 m korkeudelta;1;13;11.52704326
TEXAS;185;1;2515989.673;6861196.614;11;234;8.2;11;;0;NA;19.4610691
TEXAS;183;2;2515989.116;6861193.513;11;207;5.4;11;;0;NA;17.82265831
TEXAS;348;2;2515891.851;6861216.901;11;287;9.4;11;;0;NA;23.03034568
TEXAS;345;2;2515892.029;6861213.871;11;266;11;22;latvaa puuttuu n. 4 m;1;-4;21.71245057
TEXAS;344;2;2515892.729;6861208.834;11;352;9.1;11;;0;NA;26.90651564
TEXAS;343;2;2515895.238;6861211.704;11;261;8.5;11;;0;NA;21.39368193
TEXAS;339;2;2515897.644;6861215.261;11;222;9.4;22;pökkelö 10 m;1;10;18.83882012
TEXAS;342;2;2515898.949;6861209.922;11;221;7.3;11;;0;NA;18.77166992
TEXAS;323;2;2515900.647;6861205.208;11;243;9.4;11;;0;NA;20.22981096
TEXAS;341;1;2515902.792;6861210.972;21;89;NA;23;kaatunut;3;NA;11.90991343
TEXAS;315;1;2515902.778;6861208.299;11;272;15;22;pökkelö 12 m;1;12;20.65795299
TEXAS;334;2;2515904.609;6861212.71;11;188;5.6;11;;0;NA;16.50753671
TEXAS;340;1;2515904.316;6861211.614;21;110;NA;21;Kelo. kallistunut puuta nro 334 kohti.;0;NA;13.45394292
TEXAS;316;1;2515903.331;6861206.438;21;80;NA;21;kelo;0;NA;11.17495287
TEXAS;314;1;2515904.684;6861208.404;11;239;14.7;22;pökkelö 11 m;1;11;19.63063775
TEXAS;318;2;2515903.874;6861204.645;11;197;9.7;12;latvasta n. 2 m poikki;1;-2;17.13444962
TEXAS;313;2;2515908.083;6861204.534;11;153;4.5;12;katkennut 8 m korkeudelta;1;8;13.99937869
TEXAS;311;1;2515909.726;6861209.037;11;241;13.4;11;;0;NA;19.69736635
TEXAS;310;2;2515911.329;6861211.671;11;178;4;12;latvus puusta nro 328 osuu tähän;0;NA;15.80244956
TEXAS;312;1;2515911.261;6861206.046;11;234;14.5;22;pökkelö 12 m;1;12;19.4610691
TEXAS;298;1;2515911.243;6861202.784;11;217;15.3;22;pökkelö 10 m;1;10;18.85345382
TEXAS;297;2;2515912.665;6861201.627;11;180;8.4;11;;0;NA;15.94419207
TEXAS;293;1;2515914.381;6861207.407;11;286;13.8;11;;0;NA;21.05084695
TEXAS;295;2;2515913.58;6861203.754;11;272;7.4;11;;0;NA;22.09241953
TEXAS;292;1;2515916.378;6861208.01;11;254;14;11;;0;NA;20.11648437
TEXAS;296;1;2515914.639;6861200.77;11;190;14.5;11;;0;NA;17.77699197
TEXAS;294;1;2515916.411;6861202.302;14;216;14.1;14;Vino 1m puuta nro. 296 kohti.;0;NA;18.8161313
TEXAS;274;1;2515919.267;6861208.328;11;167;14;11;;0;NA;16.7319621
TEXAS;277;1;2515918.601;6861203.911;11;249;13.6;22;pökkelö 8 m;1;8;19.95821553
TEXAS;275;1;2515920.853;6861206.663;11;142;14.2;22;pökkelö 8 m;1;8;15.43236331
TEXAS;276;1;2515921.276;6861203.585;11;289;14.3;11;;0;NA;21.1320572
TEXAS;278;1;2515921.274;6861200.712;11;212;14.1;11;;0;NA;18.66498935
TEXAS;247;1;2515924.025;6861207.812;11;232;13.9;11;;0;NA;19.3921194
TEXAS;248;1;2515925.162;6861206.27;11;226;14.1;11;;0;NA;19.18130268
TEXAS;251;2;2515924.044;6861200.774;12;146;2.9;12;2-haarainen. Haarautuu 1.5m korkeudessa.;0;NA;13.48390338
TEXAS;246;2;2515926.977;6861206.085;11;157;5.3;12;puu nro 248 piiskaa;0;NA;14.29182226
TEXAS;249;2;2515926.399;6861201.325;11;204;6;11;;0;NA;17.61711048
TEXAS;250;2;2515926.046;6861199.216;11;228;9.1;11;;0;NA;19.23996292
TEXAS;243;2;2515928.096;6861200.691;11;191;9.3;12;puut nro 250 ja 249 piiskaavat;0;NA;16.71730788
TEXAS;223;1;2515927.749;6861197.168;22;123;NA;22;Poikki n. 4.5m korkeudesta.;0;NA;14.30629813
TEXAS;214;2;2515930.644;6861205.019;11;206;8.8;11;;0;NA;17.754229
TEXAS;215;1;2515930.573;6861203.055;14;195;13.1;22;pökkelö 12 m;1;12;17.98769617
TEXAS;219;2;2515930.244;6861199.525;12;131;6.3;12;Latva poikki n. 10m korkeudesta.;0;NA;12.36318681
TEXAS;218;2;2515932.622;6861202.217;12;199;7.8;12;Latva poikki n. 14m korkeudesta.;0;NA;17.27279054
TEXAS;222;2;2515931.336;6861196.458;11;187;5.5;11;;0;NA;16.43743402
TEXAS;216;2;2515933.727;6861203.513;11;198;8.3;11;;0;NA;17.20366403
TEXAS;217;2;2515934.804;6861201.482;12;227;5.7;12;2-haarainen. Haarautuu n. 7m korkeudesta. Toisesta puuttuu 1 m latvaa;0;NA;19.17331434
TEXAS;221;2;2515934.324;6861196.795;11;244;5.7;11;;0;NA;20.29514903
TEXAS;220;1;2515935.413;6861198.246;11;222;14.8;11;;0;NA;19.0373558
TEXAS;207;1;2515937.606;6861196.821;11;207;12.5;22;pökkelö 7 m;1;7;18.47179049
TEXAS;208;1;2515938.349;6861198.814;11;211;13.5;11;;0;NA;18.62673398
TEXAS;188;1;2515941.578;6861203.097;11;239;13.7;11;;0;NA;19.63063775
TEXAS;190;1;2515940.735;6861199.871;22;155;NA;22;Pökkelö. Poikki n. 12m korkeudesta.;0;NA;16.13158745
TEXAS;193;1;2515940.077;6861195.799;11;156;13.2;12;latvus piiskautunut. Puu nro 192 ;0;NA;16.18320433
TEXAS;191;1;2515941.84;6861198.756;11;217;13.7;11;;0;NA;18.85345382
TEXAS;189;1;2515943.128;6861201.349;12;140;14.5;12;latvus supistunut;0;NA;15.31991656
TEXAS;192;2;2515941.793;6861195.979;11;250;10.5;11;;0;NA;20.68548964
TEXAS;194;2;2515943.338;6861194.151;12;161;7.2;12;2-haarainen. haarautuu n. 1.8 m korkeudelta. Kummastakin latvasta n. 1 m katkennut;0;NA;14.58274356
TEXAS;103;1;2515945.676;6861201.09;12;250;12.2;12;Kolmelatvainen;0;NA;19.99015635
TEXAS;104;1;2515944.587;6861196.368;11;207;13.8;11;;0;NA;18.47179049
TEXAS;106;6;2515945.469;6861195.508;22;115;NA;22;KUUSI. pökkelö 3 m. hyvin vino;0;NA;11.14289919
TEXAS;120;2;2515947.347;6861201.996;11;216;4.6;11;;0;NA;18.43465342
TEXAS;115;2;2515947.759;6861195.419;11;227;8.7;11;;0;NA;19.17331434
TEXAS;118;2;2515950.173;6861197.986;22;140;NA;22;Pökkelö. Poikki n. 5m korkeudesta.;0;NA;13.03827828
TEXAS;114;2;2515950.64;6861192.296;11;278;5.4;11;;0;NA;22.46963156
TEXAS;117;2;2515952.308;6861197.101;11;193;4.1;11;;0;NA;16.85670964
TEXAS;116;1;2515952.111;6861195.276;22;168;NA;22;Pökkelö. Poikki n. 10m korkeudesta.;0;NA;16.78018199
TEXAS;124;1;2515954.255;6861199.053;11;255;13.3;11;;0;NA;20.14771237
TEXAS;127;1;2515954.114;6861193.907;11;257;12.5;11;;0;NA;20.20975022
TEXAS;126;2;2515955.432;6861196.653;11;185;5.2;11;;0;NA;16.29695918
TEXAS;133;1;2515956.55;6861193.868;11;249;12.9;11;;0;NA;19.95821553
TEXAS;132;1;2515957.342;6861191.563;13;190;10;13;Latva poikki/kituva;0;NA;17.77699197
TEXAS;135;1;2515959.644;6861197.758;11;263;15;11;;0;NA;20.39258477
TEXAS;134;1;2515959.443;6861195.969;11;253;15.7;11;;0;NA;20.08511572
TEXAS;144;1;2515960.115;6861192.126;12;205;14.9;12;poikaoksa 2 m korkeudella. Ei 2-haarainen. Latvus piiskautunut. Puu nro 145 piiskannut;0;NA;18.39314515
TEXAS;143;1;2515962.062;6861194.917;11;216;14.8;22;pökkelö 12 m;1;12;18.8161313
TEXAS;145;1;2515961.186;6861191.253;11;255;11;22;yksi oksa tallella. Pökkelö 12 m;1;12;20.14771237
TEXAS;140;1;2515964.562;6861196.289;11;259;15.1;11;;0;NA;20.27123671
TEXAS;142;1;2515964.884;6861193.474;12;189;14.6;12;Toispuoleinen. Puu nro. 141 piiskannut.;0;NA;17.73418588
TEXAS;141;1;2515965.968;6861195.245;11;253;14.2;12;katkennut 14 m korkeudelta;1;14;20.08511572
TEXAS;156;2;2515965.594;6861188.916;11;158;4;11;;0;NA;14.36469483
TEXAS;157;1;2515966.734;6861190.526;11;244;15.3;11;;0;NA;19.79630895
TEXAS;158;1;2515968.749;6861193.181;11;235;12.9;12;2-haarainen. Kaksi merkittävää isoa latvaa;0;NA;19.49530122
TEXAS;152;1;2515967.738;6861187.674;22;151;NA;22;Pökkelö. Poikki n. 12m korkeudesta.;0;NA;15.92210205
TEXAS;153;1;2515968.811;6861188.922;13;128;13.4;22;pökkelö 7 m;1;7;14.61563322
TEXAS;155;1;2515969.936;6861191.622;11;249;11.4;11;;0;NA;19.95821553
TEXAS;154;1;2515970.247;6861188.47;11;242;12.3;11;;0;NA;19.73049952
TEXAS;163;2;2515972.853;6861193.241;11;155;7.3;11;normaali;0;NA;14.1457915
TEXAS;164;2;2515973.346;6861191.283;11;158;2.5;11;;0;NA;14.36469483
TEXAS;165;2;2515974.665;6861194.382;11;149;4.2;11;;0;NA;13.70540087
TEXAS;168;1;2515975.568;6861192.127;11;226;12.5;11;;0;NA;19.18130268
TEXAS;167;2;2515976.545;6861193.913;11;182;6.3;11;;0;NA;16.08557064
TEXAS;169;1;2515977.853;6861189.475;11;217;11.9;11;;0;NA;18.85345382
TEXAS;172;1;2515978.089;6861185.926;11;209;9.5;22;pökkelö 6 m;1;6;18.54964952
TEXAS;176;2;2515979.568;6861188.968;11;163;2.1;11;;0;NA;14.72763708
TEXAS;177;1;2515980.83;6861190.916;12;181;11.1;12;latva laaja;0;NA;17.38345378
TEXAS;173;1;2515979.869;6861185.531;11;152;12.4;12;latvus epäsymmetrinen;0;NA;15.97493136
TEXAS;178;4;2515982.745;6861189.482;11;99;6.5;11;;0;NA;9.89613548
TEXAS;175;1;2515982.002;6861186.773;11;280;12;11;;0;NA;20.88532338
TEXAS;174;1;2515981.748;6861185.498;12;186;12.3;12;Toispuoleinen. Puu nro. 175 piiskannut.;0;NA;17.60440535
TEXAS;326;2;2515894.274;6861204.734;11;273;10.1;11;;0;NA;22.15547884
TEXAS;325;2;2515897.039;6861200.337;11;364;9.7;11;;0;NA;27.59044679
TEXAS;324;2;2515898.486;6861202.629;11;376;9.6;11;;0;NA;28.26500839
TEXAS;322;2;2515900.137;6861196.946;11;292;10.6;11;;0;NA;23.33923876
TEXAS;321;2;2515903.274;6861195.773;11;504;7;11;;0;NA;34.92447758
TEXAS;319;2;2515905.073;6861201.925;11;284;6.1;11;;0;NA;22.84411658
TEXAS;320;2;2515905.093;6861199.289;11;289;11.5;11;;0;NA;23.15412555
TEXAS;305;2;2515908.034;6861194.128;11;88;3.9;11;;0;NA;9.023176095
TEXAS;299;2;2515910.245;6861198.164;11;241;4.8;11;;0;NA;20.09889236
TEXAS;304;2;2515910.58;6861193.888;11;77;3.2;12;latvasta n. 1 m katki;1;-1;8.136998114
TEXAS;300;1;2515912.063;6861197.738;11;223;14.7;11;;0;NA;19.07360325
TEXAS;303;1;2515911.517;6861194.615;22;123;NA;22;pökkelö 2 m;0;NA;14.30629813
TEXAS;302;1;2515913.794;6861195.166;11;239;13.2;11;;0;NA;19.63063775
TEXAS;301;2;2515914.92;6861198.398;11;199;3.3;11;;0;NA;17.27279054
TEXAS;287;1;2515913.699;6861191.233;11;308;13.8;11;;0;NA;21.62371622
TEXAS;280;2;2515918.678;6861198.479;11;100;2.4;11;;0;NA;9.974850171
TEXAS;283;1;2515918.296;6861193.323;11;270;14.3;11;;0;NA;20.59987756
TEXAS;282;1;2515919.067;6861194.669;21;139;NA;21;kelo;0;NA;15.26318218
TEXAS;279;1;2515920.31;6861197.562;12;215;13.4;22;pökkelö 8 m;1;8;18.77862496
TEXAS;284;2;2515919.212;6861191.702;11;141;4.8;11;;0;NA;13.11279395
TEXAS;281;1;2515920.629;6861195.953;11;266;15.1;12;poikki 16 m korkeudelta;1;16;20.482202
TEXAS;253;1;2515923.038;6861196.967;12;221;15.1;12;Toispuoleinen. Puu nro. 252 piiskannut.;0;NA;19.00093243
TEXAS;257;1;2515921.719;6861191.972;11;195;15;22;pökkelö 10 m;1;10;17.98769617
TEXAS;256;1;2515922.127;6861192.972;13;114;15.9;13;kituva;0;NA;13.72394307
TEXAS;252;2;2515924.437;6861197.346;12;245;9.5;12;Toispuoleinen. Puu nro. 253 piiskannut.;0;NA;20.36040648
TEXAS;260;2;2515922.249;6861188.552;11;182;3.4;11;;0;NA;16.08557064
TEXAS;254;2;2515924.33;6861193.701;11;228;6.5;11;;0;NA;19.23996292
TEXAS;258;2;2515924.717;6861191.952;11;203;11.2;11;;0;NA;17.54842095
TEXAS;259;2;2515924.217;6861188.884;11;255;11.8;11;;0;NA;21.00857951
TEXAS;242;1;2515926.986;6861192.545;11;151;14.6;11;;0;NA;15.92210205
TEXAS;224;1;2515928.404;6861194.509;11;205;14.8;11;;0;NA;18.39314515
TEXAS;232;2;2515927.226;6861188.47;11;294;4.5;11;;0;NA;23.46227806
TEXAS;230;2;2515927.744;6861190.338;11;155;4.7;11;;0;NA;14.1457915
TEXAS;226;2;2515929.077;6861192.292;11;187;10;11;;0;NA;16.43743402
TEXAS;225;2;2515930.009;6861193.83;11;190;5.1;11;;0;NA;16.64747347
TEXAS;227;4;2515931.187;6861191.474;14;72;6.6;14;Vino n. 1.5m puuta nro. 205 kohti.;0;NA;7.72973867
TEXAS;231;1;2515930.357;6861187.649;11;250;10.6;11;;0;NA;19.99015635
TEXAS;229;2;2515930.959;6861189.447;11;209;4.5;11;;0;NA;17.9592579
TEXAS;228;1;2515933.859;6861189.261;11;275;13.7;11;;0;NA;20.74413158
TEXAS;205;1;2515936.384;6861192.516;11;218;14.7;11;;0;NA;18.89059386
TEXAS;206;1;2515937.641;6861193.409;12;166;12.9;12;Toispuoleinen. Puu nro 205 piiskaa;0;NA;16.68347214
TEXAS;204;2;2515937.069;6861188.017;11;293;7.6;11;;0;NA;23.40079527
TEXAS;195;2;2515941.133;6861192.455;11;222;8.6;11;;0;NA;18.83882012
TEXAS;199;2;2515941.047;6861185.941;11;201;7.7;11;;0;NA;17.41078054
TEXAS;196;1;2515943.694;6861192.393;11;248;13.4;11;;0;NA;19.92612921
TEXAS;197;2;2515943.553;6861189.729;11;195;8.6;12;katkennut 12 m korkeudelta;1;12;16.99575643
TEXAS;105;2;2515945.526;6861191.881;11;193;8.1;12;katkennut 12 m korkeudelta;1;12;16.85670964
TEXAS;198;2;2515943.912;6861185.941;11;235;7.4;11;;0;NA;19.70418604
TEXAS;109;1;2515945.281;6861189.024;22;148;NA;22;pökkelö 3 m;0;NA;15.76174448
TEXAS;108;2;2515946.7;6861191.194;12;88;3.9;13;kituva;0;NA;9.023176095
TEXAS;110;2;2515946.664;6861188.148;11;177;9.9;11;;0;NA;15.73144139
TEXAS;111;2;2515947.346;6861185.534;11;187;5.1;11;;0;NA;16.43743402
TEXAS;113;2;2515949.944;6861188.17;11;203;9.3;11;;0;NA;17.54842095
TEXAS;112;2;2515950.257;6861184.013;11;225;6.1;11;;0;NA;19.03976738
TEXAS;128;2;2515954.241;6861186.01;11;287;7.5;11;;0;NA;23.03034568
TEXAS;129;2;2515953.676;6861182.914;11;247;6.2;11;;0;NA;20.49068012
TEXAS;131;1;2515957.698;6861187.857;22;148;NA;22;pökkelö 5 m;0;NA;15.76174448
TEXAS;130;2;2515958.416;6861182.179;11;211;6.6;11;;0;NA;18.09551316
TEXAS;146;2;2515960.457;6861186.454;11;82;3;11;;0;NA;8.541464065
TEXAS;147;2;2515961.596;6861184.152;11;318;10.3;11;;0;NA;24.91608675
TEXAS;148;2;2515961.031;6861181.939;11;323;7.7;11;;0;NA;25.21379344
TEXAS;149;2;2515963.29;6861181.331;11;268;6.2;11;;0;NA;21.83941508
TEXAS;150;1;2515966.973;6861183.088;12;239;10;22;pökkelö 8 m;1;8;19.63063775
TEXAS;151;1;2515970.477;6861184.745;11;319;10.9;11;;0;NA;21.89161957
TEXAS;170;4;2515974.255;6861183.418;11;87;3.5;11;;0;NA;8.943165164
TEXAS;171;1;2515976.938;6861181.43;11;312;9.4;11;;0;NA;21.72249116
TEXAS;289;2;2515909.198;6861189.321;11;383;7.4;11;;0;NA;28.65425202
TEXAS;288;2;2515912.544;6861189.072;11;112;4.7;11;;0;NA;10.91117348
TEXAS;286;1;2515915.193;6861187.982;11;198;14;22;pökkelö 9 m;1;9;18.11151924
TEXAS;290;2;2515915.036;6861182.311;11;363;5.6;11;;0;NA;27.53381306
TEXAS;285;1;2515918.349;6861188.87;11;252;15.6;11;;0;NA;20.05360548
TEXAS;264;2;2515917.711;6861183.568;11;80;NA;11;;0;NA;8.380011062
TEXAS;263;1;2515919.511;6861184.818;11;310;11.5;11;;0;NA;21.67330082
TEXAS;262;1;2515921.156;6861187.203;11;217;15.9;11;;0;NA;18.85345382
TEXAS;265;2;2515920.332;6861181.539;11;214;7.3;11;;0;NA;18.29925329
TEXAS;261;1;2515923.357;6861187.284;11;248;16.6;11;;0;NA;19.92612921
TEXAS;266;2;2515923.693;6861181.542;22;129;NA;22;Pökkelö 6 m;0;NA;12.21206991
TEXAS;233;2;2515925.002;6861185.714;11;204;5.1;11;;0;NA;17.61711048
TEXAS;241;2;2515927.133;6861181.836;11;111;5.6;22;pökkelö 4 m ;1;4;10.83372378
TEXAS;267;2;2515927.239;6861178.859;14;88;5.2;14;vino 3 m / 36 astetta;2;NA;9.023176095
TEXAS;240;2;2515928.177;6861181.139;11;202;6;11;;0;NA;17.47964436
TEXAS;268;2;2515927.341;6861176.968;11;310;11.7;11;;0;NA;24.436083
TEXAS;239;2;2515931.018;6861181.153;11;108;5.9;12;1 m latvaa katki. Latvus epäsymmetrinen. Puu nro 237 piiskaa;1;-1;10.60074836
TEXAS;238;2;2515931.19;6861181.708;11;74;NA;11;;0;NA;7.892979517
TEXAS;237;2;2515931.477;6861181.81;11;91;6.1;12;1 m latvaa katki. Latvus epäsymmetrinen. Puu nro 239 piiskaa;1;-1;9.262554351
TEXAS;236;2;2515930.872;6861177.705;11;198;6.8;11;;0;NA;17.20366403
TEXAS;234;2;2515934.198;6861183.582;11;73;NA;11;;0;NA;7.811415426
TEXAS;235;2;2515933.52;6861178.768;11;252;7.1;11;;0;NA;20.81496376
TEXAS;203;2;2515936.46;6861183.948;11;231;7.9;11;;0;NA;19.43941094
TEXAS;202;2;2515936.708;6861180.073;11;293;6.1;11;;0;NA;23.40079527
TEXAS;201;2;2515939.279;6861181.652;11;325;10.3;11;;0;NA;25.33238604
TEXAS;200;2;2515943.533;6861181.648;11;286;7;11;;0;NA;22.96834402
TEXAS;270;2;2515921.293;6861178.053;11;326;4.4;11;;0;NA;25.39157781
TEXAS;269;2;2515925.023;6861177.013;11;367;9.2;11;;0;NA;27.75995802
TEXAS;210;1;2515937.802;6861206.543;23;137;NA;NA;;NA;NA;15.14867583
