ID,X,Y,Hmax,Hmean,Hstd,CV,VD,h10,h20,h30,h40,h50,h60,h70,h80,h90
1,5893.59,1243.75,18.83,11.9233218,4.096106133,0.34353733,0.651914011,6.324,7.908,8.964,11.204,12.17,13.538,14.936,15.952,17.352
2,5894.42,1238.78,20.84,14.80962617,3.736236822,0.252284344,0.482732174,9.229,12.18,13.247,14.748,15.465,16.126,17.311,18.234,19.068
3,5897.38,1240.55,23.5,13.64085106,5.442516164,0.398986554,0.636123706,6.311,8.824,10.516,12.42,14.195,15.314,16.794,18.806,20.904
4,5961,1219.91,18.92,14.33004016,3.289388179,0.229544938,0.561683698,10.62,11.854,13.176,14.2,15.16,15.818,16.61,17.174,17.662
5,5965.78,1221.71,19.82,13.59425197,4.819399864,0.354517474,0.572962487,6.09,8.614,11.435,13.218,15.065,16.148,17.254,17.988,19.121
6,5970.26,1223.93,18.52,13.24859532,4.052456464,0.305878198,0.674471589,5.726,11.484,12.334,12.882,14.23,15.386,15.766,16.384,16.79
7,5973.36,1222.93,20.38,15.68633229,3.149022314,0.200749433,0.719586745,12.58,13.376,14.678,16.116,16.47,16.732,17.376,17.802,19.002
8,5974.63,1221.13,22.02,17.41810748,3.147027878,0.180675649,0.965464348,13.714,15.39,16.54,17.248,17.765,18.438,19.259,19.738,20.726
9,5974.28,1216.95,19.74,14.00111406,3.594036925,0.256696496,0.850420699,8.768,11.242,12.888,13.864,14.72,15.49,16.032,17.1,17.894
10,5976.87,1222.49,20.69,15.96770227,3.000113455,0.18788636,0.697029167,13.25,14.724,15.114,15.81,16.28,17.172,17.55,17.802,19
11,5978.11,1219.03,17.72,14.97754153,1.654735609,0.110481123,0.678983104,12.97,13.75,14.49,14.69,15,15.17,15.88,16.28,17.14
12,5979.54,1214.92,20.43,15.49327941,3.975814287,0.256615412,1.533915319,12.207,14.576,15.16,15.446,16.52,17.09,17.57,17.944,19.331
13,5897.08,1234.17,18.79,13.8669869,3.569691139,0.257423705,0.516568541,8.934,9.74,12.178,13.58,14.45,15.698,16.574,17.402,17.954
14,5896.16,1228.81,23.88,16.72146939,4.575475014,0.273628765,0.552660666,10.756,12.676,14.246,15.544,17.37,19.034,20.182,21.26,22.092
15,5902.92,1234.68,21.86,11.40410959,7.355631503,0.644998318,1.317362568,2.51,2.802,3.139,6.908,14.85,15.778,17.941,18.73,20.04
16,5920.08,1219.6,22.34,16.92327362,3.726415586,0.220194725,1.385035303,13.61,15.036,15.32,15.942,17.09,18.568,19.192,19.914,20.821
17,5929.47,1222.39,21.02,18.0723221,2.580142475,0.142767623,0.602287338,15.48,16.22,17.276,18.16,18.54,19.082,19.724,20.088,20.62
18,5930.42,1217.8,20.77,14.41896936,4.049797125,0.280865922,0.809817058,8.318,11.682,13.044,14.642,15,15.928,16.688,17.62,18.86
19,5933.22,1221.85,21.48,17.2843771,3.341563252,0.193328532,0.669960073,14.456,15.57,16.754,17.41,18.42,18.83,19.052,19.588,20.51
20,5937.79,1222.92,21.88,17.52146067,4.111201065,0.234638033,0.803049785,14.965,16.12,16.47,17.81,18.465,19.29,19.805,20.12,20.85
21,5939.61,1221.03,21.4,16.2399726,4.777258024,0.294166631,0.823351605,7.302,15.244,16.024,16.686,17.85,18.714,19.13,19.52,20.056
22,5938.88,1214.52,22.21,13.73885191,4.713609004,0.343086091,1.355710451,6.38,9.55,11.5,12.97,14.13,15.37,17.18,18.16,19.67
23,5964.1,1212.43,22.52,17.69371257,3.367293878,0.190310194,0.376711556,12.884,15.08,15.86,16.338,17.93,19.168,20.222,20.828,21.82
24,5969.48,1213.25,21.65,15.53651351,4.548630695,0.292770363,0.834630394,7.19,13.496,15.167,15.692,16.355,17.258,18.15,19.108,20.07
25,5972.07,1215.25,20.53,14.77440758,4.608919423,0.311952909,0.951929801,6.549,11.66,14.693,15.734,16.335,17.282,17.697,18.13,18.91
26,5977.51,1204.93,17.92,13.03443526,3.576811661,0.274412477,0.818840089,7.748,10.014,11.526,13.054,14.32,14.78,15.3,15.942,16.918
27,5981.77,1206.58,20.55,14.82849823,3.15393807,0.212694369,1.276758927,10.695,12.28,13.7,14.65,15.36,16.05,16.315,17.43,18.71
28,5984.24,1204.19,16.41,12.92482759,2.437524057,0.188592385,0.588752792,10.02,11.59,11.73,13,13.67,14.17,14.45,14.95,15.16
29,5986.78,1209.77,19.58,16.18972067,1.979308252,0.122257097,0.40378065,13.316,14.43,15.082,16.232,16.67,16.858,17.226,18.22,18.608
30,5986.7,1207.8,19.24,16.21326733,2.72458588,0.168046688,0.22783154,13.83,15.01,16.19,16.58,16.96,17.17,17.44,17.95,18.29
31,5987.59,1201.51,18.03,12.975,3.507329442,0.270314408,0.852676457,8.534,10.36,11.28,12.438,13.35,14.394,15.808,16.38,16.806
32,5892.33,1220.36,22.15,17.48533597,3.180322121,0.181885102,0.570706729,13.042,14.778,16.014,17.358,18.14,18.99,19.748,20.176,21.106
33,5895.51,1216.7,24.05,19.313379,2.956012765,0.153055183,0.494010963,15.014,16.332,18.122,18.88,19.83,20.786,21.33,21.756,22.64
34,5896.69,1220,24.16,18.51148148,3.194219574,0.172553427,0.609054612,14.73,15.792,16.52,18.096,18.96,19.898,20.72,21.14,22.382
35,5900.6,1221.88,20.8,17.03561404,3.706465742,0.217571596,0.385734588,14.08,16.49,17.36,17.71,18.05,18.5,19.04,19.31,19.54
36,5899.84,1217.68,22.09,16.3924186,3.681575713,0.224590148,0.484987932,11.668,13.294,14.882,16.162,17.46,18.064,18.556,19.226,20.62
37,5902.87,1218.16,20.69,14.41098901,5.191147491,0.360221459,0.410547924,6.931,8.24,9.395,15.064,17.375,17.726,18.247,19.12,19.746
38,5914.32,1216.12,19.68,16.6363871,2.572267436,0.15461695,1.048927387,14.146,15.246,16.14,16.794,17.39,17.8,18.136,18.46,18.87
39,5923.25,1215.84,20.94,16.52469136,3.010016318,0.18215265,0.913581918,13.9,14.578,15.252,16.172,17.35,17.876,18.394,18.73,19.672
40,5931.38,1210.57,21.05,16.99164063,3.243689864,0.190899157,0.866211004,14.52,15.326,16.535,16.856,17.46,18.228,18.651,19.258,20.122
41,5932.49,1206.36,20.16,15.45062053,3.177483672,0.205654114,0.945162527,11.76,12.93,14.574,15.312,16.04,16.528,17.206,18.04,19.05
42,5934.61,1210.2,18.04,12.95429119,3.268568255,0.252315484,0.588752792,8.04,9.6,11.06,12.18,13.88,14.66,15.37,15.89,16.89
43,5979.09,1202.77,20.79,16.50734007,3.510012993,0.21263347,0.669960073,11.486,15.706,16.218,16.864,17.46,17.912,18.4,18.8,19.362
44,5978.01,1195.96,19.38,15.44540717,2.924533494,0.189346481,0.692517651,13.048,14.42,14.9,15.222,15.58,16.392,16.744,17.654,18.34
45,5978.84,1198.76,20.94,16.35295522,3.424189914,0.209392729,0.75567887,12.646,15.49,16.144,16.612,17.02,17.744,18.136,18.634,19.49
46,5981.74,1194.03,18.4,13.73675676,4.249697602,0.309366882,0.500778236,6.242,13.22,14.445,14.914,15.275,15.58,15.87,16.658,17.087
47,5983.82,1197.56,18.89,13.68066225,2.935858536,0.214599153,0.681238862,10.352,10.68,11.953,12.77,13.33,14.046,15.241,16.94,17.949
48,5984.32,1192.1,18.67,15.11896667,2.070752032,0.13696386,0.676727347,12.71,13.424,14.267,14.89,15.45,15.98,16.13,17.03,17.481
49,5984.92,1194.43,20.41,15.73683333,3.063037521,0.194641289,0.812072816,12.525,14.046,14.97,15.696,15.915,16.522,17.546,18.586,19.177
50,5989.28,1199.36,19.75,14.11024155,3.59483103,0.254767505,0.466941869,9.08,12.412,13.556,14.27,14.34,15.5,16.3,17.012,18.064
51,5989.6,1196.18,18.54,15.2033913,2.851814408,0.187577518,0.25941215,12.848,14.026,14.788,15.372,15.93,16.42,16.85,17.01,17.48
52,5988.62,1193.13,17.41,12.91843284,3.36438352,0.260432791,0.302271548,7.067,10.184,11.872,13.22,13.785,14.544,15.282,15.924,16.065
53,5892.12,1216.9,23.38,17.8127907,3.519190558,0.197565369,0.678983104,12.14,15.19,16.4,17.23,18.61,19.22,19.93,20.97,22
54,5890.63,1212.54,21.85,18.28953846,3.19996208,0.174961336,0.586497034,13.893,15.4,16.899,18.94,19.57,20.168,20.573,20.784,20.991
55,5892.82,1207.99,25.94,19.81891738,3.453587778,0.174257136,0.791770995,15.51,16.7,17.94,19.26,20.04,21.28,22.09,22.76,24.18
56,5896,1210.84,24.18,17.94266667,4.033847047,0.224818703,0.575218245,13.424,14.648,15.352,17.36,18.73,19.348,20.604,21.432,22.48
57,5910.05,1208.57,19.99,15.36619048,4.136571103,0.26919952,0.568450971,7.797,14.342,15.422,15.824,16.085,16.906,17.994,18.434,19.14
58,5934.39,1196.53,22.56,15.51854167,4.865599602,0.31353459,0.866211004,7.112,11.516,13.478,15.738,16.845,18.12,19.213,19.72,20.685
59,5941.86,1195.55,22.69,17.99246667,2.949338668,0.163920752,0.676727347,14.728,16.006,17.204,17.74,18.285,18.792,19.646,20.456,21.217
60,5944.81,1195.92,21.1,15.83211604,4.991810035,0.315296453,0.660937042,6.394,13.782,16.334,16.72,17.57,18.336,18.86,19.288,19.76
61,5947.81,1194.88,21.04,14.53204444,4.23451633,0.291391645,1.01509102,9.484,11.51,12.757,13.982,15,16.38,17.13,18.422,19.362
62,5951.11,1192.26,22.27,15.20421525,5.042843204,0.331674021,1.006067989,8.165,11.17,12.88,15.03,16.095,17.7,18.635,19.43,21.04
63,5953.75,1193.08,21.94,17.6421021,4.021665321,0.227958397,0.751167355,13.92,15.682,17.652,17.96,19.09,19.69,20.124,20.286,20.488
64,5956.24,1193.89,22.33,18.15154639,2.467437037,0.135935362,0.656425526,15.67,16.81,17.07,17.65,18.02,18.68,19.54,20.32,20.91
65,5964.58,1195.94,22.82,18.22482143,4.782112688,0.262395585,0.757934628,13.855,16.82,18.145,18.93,19.745,20.32,20.705,21.16,21.93
66,5964.54,1194.11,20.67,16.3484153,4.158318712,0.254356073,0.412803681,7.118,15.864,16.978,17.63,18.02,18.284,18.538,18.776,19.03
67,5966.66,1190.91,22.1,15.54438095,5.800229318,0.373139936,0.473709143,6.988,8.518,11.839,16.906,18.17,19.05,19.613,20.534,21.151
68,5968.86,1193.58,19.66,15.52365132,3.501312836,0.22554699,0.685750378,12.82,13.04,14.669,16.106,16.62,17.366,17.93,18.14,18.53
69,5969.51,1191.23,20.66,14.65801105,5.848174019,0.398974595,0.408292166,5.3,5.4,14.23,16.42,17.38,18.13,18.91,19.37,19.9
70,5970.55,1188.53,21.53,15.95571429,4.496560961,0.281815084,0.505289752,8.165,13.276,15.495,16.224,16.985,17.816,18.771,19.266,20.265
71,5977.67,1189.22,19.19,13.24877076,4.752631778,0.35872247,0.678983104,3.93,9.56,13.47,13.94,14.6,15.5,16.21,16.8,17.89
72,5981.02,1190.89,18.43,14.74134328,2.271171997,0.154068185,0.302271548,11.986,13.188,13.886,14.922,15.355,15.818,16.113,16.458,17.007
73,5981.83,1186.93,21.97,17.58597701,3.885405019,0.220937683,0.392501861,15.029,16.2,17.146,18.196,18.585,18.986,19.574,19.966,20.607
74,5894.34,1204.02,23.88,18.87313008,3.580057057,0.189690689,0.554916424,13.71,16.38,18.01,18.73,19.575,20.1,21.13,21.94,23.08
75,5897.23,1200.2,27.67,20.32740351,4.288540692,0.210973364,0.642890979,14.578,16.514,18.784,19.386,20.26,22.03,23.412,24.142,25.49
76,5898.61,1201.92,27.43,20.30495979,4.136745164,0.203730774,0.841397668,14.026,17.212,18.574,20.288,20.99,21.554,23.01,23.704,25.17
77,5899.72,1196.23,25.09,19.09774194,3.811376136,0.199572083,0.629356432,13.178,16.052,17.452,18.634,19.42,20.78,21.734,22.738,23.584
78,5903.45,1194.65,27.66,19.794522,4.377621685,0.22115319,1.486544405,13.792,17.048,18.32,19.328,20.72,21.39,22.016,23.062,25.044
79,5905.08,1198.84,25.92,20.28710692,4.045102869,0.199392791,0.717330987,15.68,18.098,19.411,20.574,21.3,21.742,22.388,23.384,24.279
80,5913.71,1194.62,22.8,18.32144531,3.432745637,0.187362164,0.577474002,14.89,16.33,17.555,18.38,18.935,19.45,20.34,20.88,21.915
81,5913.79,1190.47,24.21,17.58399654,5.304468027,0.301664529,1.303828021,5.454,16.48,17.852,18.09,18.86,19.23,20.449,21.36,22.512
82,5918.77,1193.68,22.96,17.05372624,4.609960623,0.270319844,1.186528614,9.63,11.77,16.575,17.29,18.175,18.94,20.055,20.77,22.03
83,5936.87,1187.63,25.5,17.47526232,4.851520623,0.277622192,1.41887167,11.498,13.724,15.782,17.266,18.32,19.16,20.416,21.234,23.008
84,5941.44,1185.92,19.98,14.98303621,3.318864815,0.221508162,0.809817058,10.488,12.268,14.104,15.042,15.55,15.97,17.11,17.626,18.66
85,5943.88,1185.1,21.88,15.35807302,3.36827266,0.219316099,1.112088606,11.044,12.28,13.292,14.546,15.4,16.16,17.108,18.57,19.99
86,5947.48,1185.13,18.78,14.75546667,2.683696416,0.181878112,0.845909183,10.272,12.872,13.918,14.896,15.73,16.094,16.468,16.874,17.634
87,5950.22,1187.82,19.27,14.85305,2.495210188,0.167993118,0.902303129,11.859,12.638,13.444,14.19,14.975,15.754,16.459,17.12,18.042
88,5950.58,1183.95,19.63,13.48737952,3.596654463,0.266668144,0.748911597,9.926,10.4,11.078,12.674,12.98,14.604,16.181,16.91,18.067
89,5955.19,1186,24.42,15.22473171,4.972791037,0.326625857,1.38729106,8.594,11.64,12.602,13.276,15.26,16.564,18.498,20.01,21.836
90,5954.06,1182.59,24.32,17.5955102,3.490790357,0.198390971,0.6631928,13.476,14.902,15.718,16.8,18.105,18.52,19.478,20.616,22.118
91,5962,1184.02,24.57,14.96913232,5.020929035,0.335418842,1.039904356,7.69,11.21,12.68,14.4,15.07,16.04,17.27,19.54,21.95
92,5961.21,1182.52,22.55,17.39783217,2.955807757,0.169895176,0.645146737,13.23,15.93,16.7,17.23,17.74,18.17,19.1,19.3,20.635
93,5963.65,1180.87,22.29,15.57552529,4.696230767,0.301513476,0.57972976,7.976,12.552,14.174,15.346,16.83,17.762,18.584,19.426,20.434
94,5970.88,1185.04,21.2,16.01165333,3.698876175,0.231011508,0.845909183,10.754,13.538,14.172,15.992,16.94,17.834,18.52,19.172,20.04
95,5976.75,1180.91,19.58,14.61966146,3.929636227,0.268791192,0.866211004,9.979,12.54,13.529,14.562,15.82,16.788,17.191,17.7,18.247
96,5909.83,1189.18,27.95,16.7426618,5.513508149,0.329308936,2.161015993,8.684,11.854,14.05,16.12,16.77,18.604,20.08,22.132,23.843
97,5915.32,1181.9,24.5,16.84379245,4.377755482,0.259903195,1.195551646,10.587,13.186,14.684,16.058,17.505,18.732,19.953,20.732,22.19
98,5918.93,1188.9,21.54,14.18976834,7.04596646,0.496552607,0.584241276,2.888,3.296,11.48,16.808,18.27,18.872,19.332,19.9,20.282
99,5919.69,1184.84,22.59,17.18911227,3.916151846,0.227827463,0.863955246,14.028,15.504,16.41,16.868,17.42,18.542,19.5,20.254,20.9
100,5928.21,1180.28,19.35,12.66158559,4.00858141,0.316593951,1.251945591,7.044,8.72,10.152,12.1,12.75,13.908,15.648,16.88,17.664
101,5936.9,1183.6,21.68,14.57692171,4.748326917,0.325742774,1.267735896,5.513,10.962,13.069,14.258,15.44,16.57,17.581,18.506,19.988
102,5936.16,1179.51,19.73,15.0439801,3.318712994,0.22060073,0.906814644,9.45,11.15,14.386,15.39,16.18,16.396,16.96,17.668,18.539
103,5939.52,1181.67,23.24,15.97699234,3.573139068,0.223642785,1.177505583,11.531,13.36,14.823,15.6,15.99,17.016,17.854,18.878,20.01
104,5943.93,1181.24,21.82,14.98339559,3.625368433,0.241959068,1.328641357,10.006,11.876,13.22,13.892,14.94,16.31,17.312,18.278,19.728
